posisi_id;kode_posisi;nama_posisi;parent;Direktorat_id;Division_id;Departemen_id;people_id;Jobtitle_code;Parent_path
18849;8017810;OPERATOR KGP / GTS LINE A - F;18837;50124;30124;10136;;GT_WRKR;
18851;8017812;OPERATOR KGP / GTS LINE G - L;18838;50124;30124;10136;;GT_WRKR;
18853;8017814;OPERATOR KGP / GTS LINE G - L;18839;50124;30124;10136;;GT_WRKR;
18855;8017816;OPERATOR KGP / GTS LINE G - L;18840;50124;30124;10136;;GT_WRKR;
18857;8017818;OPERATOR KGP / GTS LINE G - L;18841;50124;30124;10136;;GT_WRKR;
18858;8017819;TEAM LEADER GENERAL SUPPORT GIP;18809;50124;30124;10136;;GT_STFF;
18860;8017821;WORKER CLEANING MC & 5R;18858;50124;30124;10136;;GT_WRKR;
18861;8017822;STAFF GENERAL SUPPORT LINDE;18809;50124;30124;10136;;GT_STFF;
18862;8017823;QUALITY & QUANTITY IMPROVEMENT DTC OFFICER;18804;50124;30124;10136;;GT_SPV;
18863;8017824;QUALITY & QUANTITY IMPROVEMENT KTC OFFICER;18804;50124;30124;10136;;GT_SPV;
18864;8017825;SECTION HEAD CURING DTC;18804;50124;30124;10136;;GT_SPV;
18865;8017826;SECTION HEAD CURING DTC;18804;50124;30124;10136;;GT_SPV;
18866;8017827;SECTION HEAD CURING DTC;18804;50124;30124;10136;;GT_SPV;
18867;8017828;SECTION HEAD CURING DTC;18804;50124;30124;10136;;GT_SPV;
18869;8017829;TEAM LEADER CURING DTC LINE A - D;18864;50124;30124;10136;;GT_STFF;
18870;8017830;TEAM LEADER CURING DTC LINE E - H;18864;50124;30124;10136;;GT_STFF;
18871;8018031;SECTION HEAD PRODUCTION TREAD EXTRUDER PLANT K;18788;50124;30124;10134;;GT_SPV;
18872;8017831;TEAM LEADER CURING DTC LINE I - K;18864;50124;30124;10136;;GT_STFF;
18873;8017832;TEAM LEADER CURING DTC LINE L - N;18864;50124;30124;10136;;GT_STFF;
18875;8017834;OPERATOR CURING DTC LINE A - D;18869;50124;30124;10136;;GT_WRKR;
