posisi_id;kode_posisi;nama_posisi;parent;Direktorat_id;Division_id;Departemen_id;people_id;Jobtitle_code;Parent_path
1;8013112;PRESIDENT DIRECTOR ;-;-;-;-;;GT_PRESDIR;
2;8000725;DEPUTY PRESIDENT DIRECTOR/CEO ;1;-;-;-;;GT_DPTPRESDIR;
3;8000796;EXECUTIVE DIRECTOR CHIEF OPERATING OFFICER ;2;-;-;-;;GT_EXCDIR;
4;8000786;EXECUTIVE DIRECTOR - CHIEF FINANCIAL OFFICER ;2;50004;-;-;;GT_EXCDIR;
5;8013114;EXECUTIVE DIRECTOR CHIEF PERSONNEL & ADM. OFFICER ;2;50001;-;-;;GT_EXCDIR;
6;8000794;EVP MANUFACTURING ;3;50000;-;-;;GT_SGM;
7;8013298;PLANT HEAD MOTORCYCLE ;6;50000;30000;-;;GT_GM;
8;8015003;ASST. PLANT HEAD MANUFACTURING ;7;50000;30000;-;;GT_SMGR;
9;8015004;ASST. PLANT HEAD NON MANUFACTURING ;7;50000;30000;-;;GT_SMGR;
10;8013316;DEPT. HEAD PRODUCTION TIRE B&H ;8;50000;30000;10000;;GT_MGR;
11;8014587;SUB DEPT. HEAD PRODUCTION TIRE MATERIAL ;10;50000;30000;10000;;GT_JMGR;
12;8014588;SECTION HEAD BTE,HTE,BBC,HBC,BBG,HBG,HSQ ;11;50000;30000;10000;;GT_SPV;
13;8014589;TEAM LEADER BTE LINE 01 - 02 ;12;50000;30000;10000;;GT_STFF;
14;8014590;TEAM LEADER BTE LINE 03,04,05 ;12;50000;30000;10000;;GT_STFF;
15;8014591;TEAM LEADER BBC ;12;50000;30000;10000;;GT_STFF;
16;8014592;TEAM LEADER BBG ;12;50000;30000;10000;;GT_STFF;
17;8014593;TEAM LEADER HTE,HBC,HBG,HSQ ;12;50000;30000;10000;;GT_STFF;
18;8014594;SECTION HEAD BTE,HTE,BBC,HBC,BBG,HBG,HSQ ;11;50000;30000;10000;;GT_SPV;
19;8014595;TEAM LEADER BTE LINE 01 - 02 ;18;50000;30000;10000;;GT_STFF;
20;8014596;TEAM LEADER BTE LINE 03,04,05 ;18;50000;30000;10000;;GT_STFF;
21;8014597;TEAM LEADER BBC ;18;50000;30000;10000;;GT_STFF;
22;8014598;TEAM LEADER BBG ;18;50000;30000;10000;;GT_STFF;
23;8014599;TEAM LEADER HTE,HBC,HBG,HSQ ;18;50000;30000;10000;;GT_STFF;
24;8014600;TEAM LEADER BTE LINE 01 - 02 ;29;50000;30000;10000;;GT_STFF;
25;8014601;TEAM LEADER BTE LINE 03,04,05 ;29;50000;30000;10000;;GT_STFF;
26;8014602;TEAM LEADER BBC ;29;50000;30000;10000;;GT_STFF;
27;8014603;TEAM LEADER BBG ;29;50000;30000;10000;;GT_STFF;
28;8014604;TEAM LEADER HTE,HBC,HBG,HSQ ;29;50000;30000;10000;;GT_STFF;
29;8014605;SECTION HEAD BTE,HTE,BBC,HBC,BBG,HBG,HSQ ;11;50000;30000;10000;;GT_SPV;
30;8014606;TEAM LEADER BTE LINE 01 - 02 ;35;50000;30000;10000;;GT_STFF;
31;8014607;TEAM LEADER BTE LINE 03,04,05 ;35;50000;30000;10000;;GT_STFF;
32;8014608;TEAM LEADER BBC ;35;50000;30000;10000;;GT_STFF;
33;8014609;TEAM LEADER BBG ;35;50000;30000;10000;;GT_STFF;
34;8014610;TEAM LEADER HTE,HBC,HBG,HSQ ;35;50000;30000;10000;;GT_STFF;
35;8014611;SECTION HEAD BTE,HTE,BBC,HBC,BBG,HBG,HSQ ;11;50000;30000;10000;;GT_SPV;
36;8014612;SUB DEPT. HEAD PRODUCTION TIRE BUILDING ;10;50000;30000;10000;;GT_JMGR;
37;8014613;SECTION HEAD BMC ;36;50000;30000;10000;;GT_SPV;
38;8014614;TEAM LEADER BMC LINE 01 - 02 ;37;50000;30000;10000;;GT_STFF;
39;8014615;TEAM LEADER BMC LINE 03 ;37;50000;30000;10000;;GT_STFF;
40;8014616;TEAM LEADER BMC LINE 04 - 05 ;37;50000;30000;10000;;GT_STFF;
41;8014617;SECTION HEAD BMC ;36;50000;30000;10000;;GT_SPV;
42;8014618;TEAM LEADER BMC LINE 01 - 02 ;41;50000;30000;10000;;GT_STFF;
43;8014619;TEAM LEADER BMC LINE 03 ;41;50000;30000;10000;;GT_STFF;
44;8014620;TEAM LEADER BMC LINE 04 - 05 ;41;50000;30000;10000;;GT_STFF;
45;8014621;SECTION HEAD BMC ;36;50000;30000;10000;;GT_SPV;
46;8014622;TEAM LEADER BMC LINE 01 - 02 ;45;50000;30000;10000;;GT_STFF;
47;8014623;TEAM LEADER BMC LINE 03 ;45;50000;30000;10000;;GT_STFF;
48;8014624;TEAM LEADER BMC LINE 04 - 05 ;45;50000;30000;10000;;GT_STFF;
49;8014625;SECTION HEAD BMC ;36;50000;30000;10000;;GT_SPV;
50;8014626;TEAM LEADER BMC LINE 01 - 02 ;49;50000;30000;10000;;GT_STFF;
51;8014627;TEAM LEADER BMC LINE 03 ;49;50000;30000;10000;;GT_STFF;
52;8013891;TEAM LEADER BMC LINE 04 - 05 ;49;50000;30000;10000;;GT_STFF;
53;8013892;SECTION HEAD HMC ;36;50000;30000;10000;;GT_SPV;
54;8014630;TEAM LEADER HMC LINE 01 ;53;50000;30000;10000;;GT_STFF;
55;8014631;TEAM LEADER HMC LINE 02 ;53;50000;30000;10000;;GT_STFF;
56;8014632;SECTION HEAD HMC ;36;50000;30000;10000;;GT_SPV;
57;8014633;TEAM LEADER HMC LINE 01 ;56;50000;30000;10000;;GT_STFF;
58;8014634;TEAM LEADER HMC LINE 02 ;56;50000;30000;10000;;GT_STFF;
59;8014635;SECTION HEAD HMC ;36;50000;30000;10000;;GT_SPV;
60;8014636;TEAM LEADER HMC LINE 01 ;59;50000;30000;10000;;GT_STFF;
61;8014637;TEAM LEADER HMC LINE 02 ;59;50000;30000;10000;;GT_STFF;
62;8014638;SECTION HEAD HMC ;36;50000;30000;10000;;GT_SPV;
63;8014639;TEAM LEADER HMC LINE 01 ;63;50000;30000;10000;;GT_STFF;
64;8014640;TEAM LEADER HMC LINE 02 ;63;50000;30000;10000;;GT_STFF;
65;8014641;SUB DEPT. HEAD PRODUCTION TIRE CURING ;10;50000;30000;10000;;GT_JMGR;
66;8014642;SECTION HEAD BTC ;65;50000;30000;10000;;GT_SPV;
67;8014643;TEAM LEADER BTC LINE 01 - 03 ;66;50000;30000;10000;;GT_STFF;
68;8014644;TEAM LEADER BTC LINE 04 - 06 ;66;50000;30000;10000;;GT_STFF;
69;8014645;TEAM LEADER REPLACEMENT MOLD & BLADDER ;66;50000;30000;10000;;GT_STFF;
70;8013913;TEAM LEADER REPAIR & OE ;66;50000;30000;10000;;GT_STFF;
71;8014647;TEAM LEADER GTS BTC ;66;50000;30000;10000;;GT_STFF;
72;8014648;SECTION HEAD BTC ;65;50000;30000;10000;;GT_SPV;
73;8014649;TEAM LEADER BTC LINE 01 - 03 ;72;50000;30000;10000;;GT_STFF;
74;8013917;TEAM LEADER BTC LINE 04 - 06 ;72;50000;30000;10000;;GT_STFF;
75;8014651;TEAM LEADER REPLACEMENT MOLD & BLADDER ;72;50000;30000;10000;;GT_STFF;
76;8014652;TEAM LEADER REPAIR & OE ;72;50000;30000;10000;;GT_STFF;
77;8014653;TEAM LEADER GTS BTC ;72;50000;30000;10000;;GT_STFF;
78;8014654;SECTION HEAD BTC ;65;50000;30000;10000;;GT_SPV;
79;8014655;TEAM LEADER BTC LINE 01 - 03 ;78;50000;30000;10000;;GT_STFF;
80;8014656;TEAM LEADER BTC LINE 04 - 06 ;78;50000;30000;10000;;GT_STFF;
81;8014657;TEAM LEADER REPLACEMENT MOLD & BLADDER ;78;50000;30000;10000;;GT_STFF;
82;8014658;TEAM LEADER REPAIR & OE ;78;50000;30000;10000;;GT_STFF;
83;8014659;TEAM LEADER GTS BTC ;78;50000;30000;10000;;GT_STFF;
84;8014660;SECTION HEAD BTC ;65;50000;30000;10000;;GT_SPV;
85;8014661;TEAM LEADER BTC LINE 01 - 03 ;84;50000;30000;10000;;GT_STFF;
86;8014662;TEAM LEADER BTC LINE 04 - 06 ;84;50000;30000;10000;;GT_STFF;
87;8014663;TEAM LEADER REPLACEMENT MOLD & BLADDER ;84;50000;30000;10000;;GT_STFF;
88;8014664;TEAM LEADER REPAIR & OE ;84;50000;30000;10000;;GT_STFF;
89;8014665;TEAM LEADER GTS BTC ;84;50000;30000;10000;;GT_STFF;
90;8014666;SECTION HEAD HTC ;65;50000;30000;10000;;GT_SPV;
91;8014667;TEAM LEADER HTC LINE 01 - 03 ;90;50000;30000;10000;;GT_STFF;
92;8014668;TEAM LEADER GTS HTC ;90;50000;30000;10000;;GT_STFF;
93;8014669;SECTION HEAD HTC ;65;50000;30000;10000;;GT_SPV;
94;8014670;TEAM LEADER HTC LINE 01 - 03 ;93;50000;30000;10000;;GT_STFF;
95;8014671;TEAM LEADER GTS HTC ;93;50000;30000;10000;;GT_STFF;
96;8013948;SECTION HEAD HTC ;65;50000;30000;10000;;GT_SPV;
97;8014673;TEAM LEADER HTC LINE 01 - 03 ;96;50000;30000;10000;;GT_STFF;
98;8014674;TEAM LEADER GTS HTC ;96;50000;30000;10000;;GT_STFF;
99;8014675;SECTION HEAD HTC ;65;50000;30000;10000;;GT_SPV;
100;8014676;TEAM LEADER HTC LINE 01 - 03 ;99;50000;30000;10000;;GT_STFF;
101;8014677;TEAM LEADER GTS HTC ;99;50000;30000;10000;;GT_STFF;
102;8014678;SUB DEPT. HEAD PREPARATION & IMPROVEMENT MATERIAL ;10;50000;30000;10000;;GT_JMGR;
103;8014679;SECTION HEAD PREPARATION & IMPROVEMENT BTE,BBC,BBG ;102;50000;30000;10000;;GT_SPV;
104;8014680;TEAM LEADER PREPARATION BTE,BBC,BBG ;103;50000;30000;10000;;GT_STFF;
105;8014681;STAFF IMPROVEMENT BTE ;103;50000;30000;10000;;GT_STFF;
106;8014682;STAFF IMPROVEMENT BBC,BBG ;103;50000;30000;10000;;GT_STFF;
107;8013962;SECTION HEAD PREPARATION & IMPROVEMENT HTE,HBC,HBG,HSQ ;102;50000;30000;10000;;GT_SPV;
108;8014684;TEAM LEADER PREPARATION HBC,HTE,HBG ;107;50000;30000;10000;;GT_STFF;
109;8014685;STAFF IMPROVEMENT HBC,HSQ ;107;50000;30000;10000;;GT_STFF;
110;8014686;STAFF IMPROVEMENT HTE,HBG ;107;50000;30000;10000;;GT_STFF;
111;8014687;SUB DEPT. HEAD PREPARATION & IMPROVEMENT BUILDING & CURING ;10;50000;30000;10000;;GT_JMGR;
112;8014688;SECTION HEAD PREPARATION & IMPROVEMENT BMC ;111;50000;30000;10000;;GT_SPV;
113;8014689;TEAM LEADER PREPARATION BMC ;112;50000;30000;10000;;GT_STFF;
114;8014690;STAFF IMPROVEMENT BMC ;112;50000;30000;10000;;GT_STFF;
115;8014691;SECTION HEAD PREPARATION & IMPROVEMENT HMC ;111;50000;30000;10000;;GT_SPV;
116;8014692;TEAM LEADER PREPARATION HMC ;115;50000;30000;10000;;GT_STFF;
117;8014693;STAFF IMPROVEMENT HMC ;115;50000;30000;10000;;GT_STFF;
118;8014694;SECTION HEAD PREPARATION & IMPROVEMENT BTC ;111;50000;30000;10000;;GT_SPV;
119;8014695;TEAM LEADER PREPARATION BTC ;118;50000;30000;10000;;GT_STFF;
120;8014696;STAFF IMPROVEMENT BTC ;118;50000;30000;10000;;GT_STFF;
121;8014697;SECTION HEAD PREPARATION & IMPROVEMENT HTC ;111;50000;30000;10000;;GT_SPV;
122;8014698;TEAM LEADER PREPARATION HTC ;121;50000;30000;10000;;GT_STFF;
123;8014699;STAFF IMPROVEMENT HTC ;121;50000;30000;10000;;GT_STFF;
124;8014700;SECTION HEAD PREPARATION & MAINTENANCE MOLD & BLADDER ;111;50000;30000;10000;;GT_SPV;
125;8014701;TEAM LEADER PREPARATION & MAINTENANCE MOLD & BLADDER PLANT B ;124;50000;30000;10000;;GT_STFF;
126;8014702;TEAM LEADER PREPARATION & MAINTENANCE MOLD & BLADDER PLANT H ;124;50000;30000;10000;;GT_STFF;
127;8014704;OPERATOR BTE LINE 01 - 02 ;13;50000;30000;10000;;GT_WRKR;
128;8014706;OPERATOR BTE LINE 03,04,05 ;14;50000;30000;10000;;GT_WRKR;
129;8014708;OPERATOR BBC ;15;50000;30000;10000;;GT_WRKR;
130;8014710;OPERATOR BBG ;16;50000;30000;10000;;GT_WRKR;
131;8014712;OPERATOR HTE ;17;50000;30000;10000;;GT_WRKR;
132;8014714;OPERATOR BTE LINE 01 - 02 ;19;50000;30000;10000;;GT_WRKR;
133;8014716;OPERATOR BTE LINE 03,04,05 ;20;50000;30000;10000;;GT_WRKR;
134;8014718;OPERATOR BBC ;21;50000;30000;10000;;GT_WRKR;
135;8014720;OPERATOR BBG ;22;50000;30000;10000;;GT_WRKR;
136;8014722;OPERATOR HTE ;23;50000;30000;10000;;GT_WRKR;
137;8014724;OPERATOR BTE LINE 01 - 02 ;24;50000;30000;10000;;GT_WRKR;
138;8014726;OPERATOR BTE LINE 03,04,05 ;25;50000;30000;10000;;GT_WRKR;
139;8014728;OPERATOR BBC ;26;50000;30000;10000;;GT_WRKR;
140;8014736;OPERATOR BBG ;27;50000;30000;10000;;GT_WRKR;
141;8014738;OPERATOR HTE ;28;50000;30000;10000;;GT_WRKR;
142;8014743;OPERATOR HTE ;34;50000;30000;10000;;GT_WRKR;
143;8014748;WORKER PREPARATION BTE ;104;50000;30000;10000;;GT_WRKR;
144;8014752;WORKER PREPARATION HTE ;108;50000;30000;10000;;GT_WRKR;
145;8014755;OPERATOR BMC LINE 01 - 02 ;38;50000;30000;10000;;GT_WRKR;
146;8014757;OPERATOR BMC LINE 03 ;39;50000;30000;10000;;GT_WRKR;
147;8014759;OPERATOR BMC LINE 04 - 05 ;40;50000;30000;10000;;GT_WRKR;
148;8014761;OPERATOR BMC LINE 01 - 02 ;42;50000;30000;10000;;GT_WRKR;
149;8014763;OPERATOR BMC LINE 03 ;43;50000;30000;10000;;GT_WRKR;
150;8014765;OPERATOR BMC LINE 04 - 05 ;44;50000;30000;10000;;GT_WRKR;
151;8014767;OPERATOR BMC LINE 01 - 02 ;46;50000;30000;10000;;GT_WRKR;
152;8014769;OPERATOR BMC LINE 03 ;47;50000;30000;10000;;GT_WRKR;
